verb,3s preterit,3pl preterit,3s perfect,3pl perfect
tatasi,tataski / tatasik,tatasket / tatasiket,tatastuk,tatastiwit
tatwa,tatwak,tatwaket,tatwatuk,tatwatiwit
ta-twi,tatwik,tatwiket,tatwituk,tatwitiwit
tatzini,tatzinki / tatzinik,tatzinket / tatziniket,tatzintuk,tatzintiwit
tatziwi,tatziwik,tatziwket / tatzijket,tatziwtuk / tatzijtuk,tatziwtiwit / tatzijtiwit
tawana,tawanki,tawanket,tawantuk,tawantiwit
tawani,tawanki / tawanik,tawanket / tawaniket,tawantuk,tawantiwit
tejku,tejkuk,tejkuket,tejkutuk,tejkutiwit
tekiti,tekitki / tekitik,tekitket / tekitiket,tekittuk / tekitituk,tekittiwit / tekititiwit
temi,tenki / temik,tenket / temiket,tentuk / temituk,tentiwit / temitiwit
temu,temuk,temuket,temutuk,temutiwit
tentatziwi,tentatziwik,tentatziwket / tentatzijket,tentatziwtuk / tentatzijtuk,tentatziwtiwit / tentatzijtiwit
tepewi,tepewik,tepewket / tepejket,tepewtuk / tepejtuk,tepewtiwit / tepejtiwit
tetzikwini,tetzikwinki / tetzikwinik,tetzikwinket / tetzikwiniket,tetzikwintuk,tetzikwintiwit
tewaki,tewakik,tewakiket,tewaktuk,tewaktiwit
tijtika,tijtikak,tijtikaket,tijtikatuk,tijtikatiwit
tikwini,tikwinki / tikwinik,tikwinket / tikwiniket,tikwintuk,tikwintiwit
tiltiya,tiltishki / tiltiyak / tiltik,tiltishket / tiltiyaket / tiltiket,tiltishtuk / tiltiyatuk / tiltituk,tiltishtiwit / tiltiyatiwit / tiltitiwit
titikwika,titikwikak,titikwikaket,titikwikatuk,titikwikatiwit
tiutaki,tiutakik,tiutakiket,tiutaktuk,tiutaktiwit
tumawaya,tumawashki / tumawayak / tumawak,tumawashket / tumawayaket / tumawaket,tumawashtuk / tumawayatuk / tumawatuk,tumawashtiwit / tumawayatiwit / tumawatiwit
tutuniya,tutunishki / tutuniyak / tutunik,tutunishket / tutuniyaket / tutuniket,tutunishtuk / tutuniyatuk / tutunituk,tutunishtiwit / tutuniyatiwit / tutunitiwit
tzajtzi,tzajtzik,tzajtziket,tzajtzituk,tzajtzitiwit
tzalani,tzalanki / tzalanik,tzalanket / tzalaniket,tzalantuk,tzalantiwit
tzawa,tzawki / tzajki,tzawket / tzajket,tzawtuk / tzajtuk,tzawtiwit / tzajtiwit
tzayani,tzayanki / tzayanik,tzayanket / tzayaniket,tzayantuk,tzayantiwit
tzikwini,tzikwinki / tzikwinik,tzikwinket / tzikwiniket,tzikwintuk,tzikwintiwit
tzilini,tzilinki / tzilinik,tzilinket / tziliniket,tzilintuk,tzilintiwit
