verb,3s preterit,3pl preterit,3s perfect,3pl perfect
shushutani,shushutanki / shushutanik,shushutanket / shushutaniket,shushutantuk,shushutantiwit
-yakakwepa,kiyakakwep(ki) / kiyakakwepak,kiyakakwepket / kiyakakwepaket,kiyakakweptuk / kiyakakwepatuk,kiyakakweptiwit / kiyakakwepatiwit
-yakana,kiyakan,kiyakanket,kiyakantuk,kiyakantiwit
-yakatzakwa,kiyakatzak,kiyakatzakket,kiyakatzaktuk,kiyakatzaktiwit
-yawalua,kiyawaluj,kiyawalujket,kiyawalujtuk,kiyawalujtiwit
-yawaltia,kiyawaltij,kiyawaltijket,kiyawaltijtuk,kiyawaltijtiwit
-yamania,kiyamanij,kiyamanijket,kiyamanijtuk,kiyamanijtiwit
yankwiya,yankwishki / yankwiyak / yankwik,yankwishket / yankwiyaket / yankwiket,yankwishtuk / yankwiyatuk / yankwituk,yankwishtiwit / yankwiyatiwit / yankwitiwit
-yekawia,kiyekawij,kiyekawijket,kiyekawijtuk,kiyekawijtiwit
-yekalwia,kiyekalwij,kiyekalwijket,kiyekalwijtuk,kiyekalwijtiwit
-yekchiwa,kiyekchiw(ki) / kiyekchij(ki),kiyekchiwket / kiyekchijket,kiyekchiwtuk / kiyekchijtuk,kiyekchiwtiwit / kiyekchijtiwit
-yekwika,kiyekwikak,kiyekwikaket,kiyekwikatuk,kiyekwikatiwit
yeknesi,yekneski / yeknesik,yeknesket / yeknesiket,yeknestuk,yeknestiwit
yeknemi,yeknenki / yeknemik,yeknenket / yeknemiket,yeknentuk / yeknemituk,yeknentiwit / yeknemitiwit
-yeknutza,kiyeknutzki / kiyeknutzak,kiyeknutzket / kiyeknutzaket,kiyeknutztuk / kiyeknutzatuk,kiyeknutztiwit / kiyeknutzatiwit
-yekpiya,kiyekpishki / kiyekpiyak,kiyekpishket / kiyekpiyaket,kiyekpishtuk / kiyekpiyatuk,kiyekpishtiwit / kiyekpiyatiwit
yekkisa,yekkiski / yekkisak,yekkisket / yekkisaket,yekkistuk,yekkistiwit
-yektema,kiyekten(ki) / kiyektemak,kiyektenket / kiyektemaket,kiyektentuk / kiyektematuk,kiyektentiwit / kiyektematiwit
yektemi,yektenki / yektemik,yektenket / yektemiket,yektentuk / yektemituk,yektentiwit / yektemitiwit
yektiya,yektishki / yektiyak / yektik,yektishket / yektiyaket / yektiket,yektishtuk / yektiyatuk / yektituk,yektishtiwit / yektiyatiwit / yektitiwit
yelmuyawi,yelmuyawik,yelmuyawket / yelmuyajket,yelmuyawtuk / yelmuyajtuk,yelmuyawtiwit / yelmuyajtiwit
-yukulia,kiyukulij,kiyukulijket,kiyukulijtuk,kiyukulijtiwit
yukushka,yukushkak,yukushkaket,yukushkatuk,yukushkatiwit
-yulsewia,kiyulsewij,kiyulsewijket,kiyulsewijtuk,kiyulsewijtiwit
-yulchikawa,kiyulchikaw(ki) / kiyulchikaj(ki),kiyulchikawket / kiyulchikajket,kiyulchikawtuk / kiyulchikajtuk,kiyulchikawtiwit / kiyulchikajtiwit
-yulkukua,kiyulkukuj,kiyulkukujket,kiyulkukujtuk,kiyulkukujtiwit
-yulkwekwepa,kiyulkwekwepki,kiyulkwekwepket,kiyulkwekweptuk,kiyulkwekweptiwit
yulkwetawi,yulkwetawik,yulkwetawket / yulkwetajket,yulkwetawtuk / yulkwetajtuk,yulkwetawtiwit / yulkwetajtiwit
-yulkwitia,kiyulkwitij,kiyulkwitijket,kiyulkwitijtuk,kiyulkwitijtiwit
yuliwani,yuliwanki / yuliwanik,yuliwanket / yuliwaniket,yuliwantuk,yuliwantiwit
yulitia,yulitij,yulitijket,yulitijtuk,yulitijtiwit
-yultalia,kiyultalij,kiyultalijket,kiyultalijtuk,kiyultalijtiwit
-yulyutia,kiyulyutij,kiyulyutijket,kiyulyutijtuk,kiyulyutijtiwit
-yulpejpena,kiyulpejpen(ki),kiyulpejpenket,kiyulpejpentuk,kiyulpejpentiwit
-sajsalua,kisajsaluj,kisajsalujket,kisajsalujtuk,kisajsalujtiwit
sanilua,saniluj,sanilujket,sanilujtuk,sanilujtiwit
-suwajtia,kisuwajtij,kisuwajtijket,kisuwajtijtuk,kisuwajtijtiwit
sujsulwia,sujsulwij,sujsulwijket,sujsulwijtuk,sujsulwijtiwit
-sumalia,kisumalij,kisumalijket,kisumalijtuk,kisumalijtiwit
sukichiwa,sukichiwki / sukichijki,sukichiwket / sukichijket,sukichiwtuk / sukichijtuk,sukichiwtiwit / sukichijtiwit
-sukiwia,kisukiwij,kisukiwijket,kisukiwijtuk,kisukiwijtiwit
sukipata,sukipatki / sukipatak,sukipatket / sukipataket,sukipattuk / sukipatatuk,sukipattiwit / sukipatatiwit
-sukituka,kisukitukak,kisukitukaket,kisukitukatuk,kisukitukatiwit
susuluka,susulukak,susulukaket,susulukatuk,susulukatiwit
-susulutza,kisusulutzki / kisusulutzak,kisusulutzket / kisusulutzaket,kisusulutztuk / kisusulutzatuk,kisusulutztiwit / kisusulutzatiwit
-iknelia,kiknelij,kiknelijket,kiknelijtuk,kiknelijtiwit
-ikniwta,kikniwtak,kikniwtaket,kikniwtatuk,kikniwtatiwit
-iknumati,kiknumatki / kiknumatik,kiknumatket / kiknumatiket,kiknumattuk / kiknumatituk,kiknumattiwit / kiknumatitiwit
iknupilti,iknupiltik,iknupiltiket,iknupiltituk,iknupiltitiwit
-ikpua,kikpuj,kikpujket,kikpujtuk,kikpujtiwit
-ikshimuta,kikshimutki / kikshimutak,kikshimutket / kikshimutaket,kikshimuttuk / kikshimutatuk,kikshimuttiwit / kikshimutatiwit
-ijchinua,kijchinuj,kijchinujket,kijchinujtuk,kijchinujtiwit
-ijilnamiki,kijilnamik / kijilnamikik,kijilnamikket / kijilnamikiket,kijilnamiktuk,kijilnamiktiwit
ijtakalwia,ijtakalwij,ijtakalwijket,ijtakalwijtuk,ijtakalwijtiwit
-ijtakua,kijtakuj,kijtakujket,kijtakujtuk,kijtakujtiwit
-ijyalilia,kijyalilij,kijyalilijket,kijyalilijtuk,kijyalilijtiwit
ijyanilia,ijyanilij,ijyanilijket,ijyanilijtuk,ijyanilijtiwit
ilkawilia,ilkawilij,ilkawilijket,ilkawilijtuk,ilkawilijtiwit
-itupulua,kitupuluj,kitupulujket,kitupulujtuk,kitupulujtiwit
-itkitia,kitkitij,kitkitijket,kitkitijtuk,kitkitijtiwit
-ittilia,kittilij,kittilijket,kittilijtuk,kittilijtiwit
-ittitia,kittitij,kittitijket,kittitijtuk,kittitijtiwit
itzmulini,itzmulinki / itzmulinik,itzmulinket / itzmuliniket,itzmulintuk,itzmulintiwit
itztewa,itztewki / itztejki,itztewket / itztejket,itztewtuk / itztejtuk,itztewtiwit / itztejtiwit
itztiwi,itztiwik,itztiwket / itztijket,itztiwtuk / itztijtuk,itztiwtiwit / itztijtiwit
-itztinemi,kitztinen(ki) / kitztinemik,kitztinenket / kitztinemiket,kitztinentuk / kitztinemituk,kitztinentiwit / kitztinemitiwit
-ishwitia,kishwitij,kishwitijket,kishwitijtuk,kishwitijtiwit
-iskaltia,kiskaltij,kiskaltijket,kiskaltijtuk,kiskaltijtiwit
-istawia,kistawij,kistawijket,kistawijtuk,kistawijtiwit
-istewetzi,kistewetz(ki) / kistewetzik,kistewetzket / kistewetziket,kistewetztuk / kistewetzituk,kistewetztiwit / kistewetzitiwit
istakati,istakatki / istakatik,istakatket / istakatiket,istakattuk / istakatituk,istakattiwit / istakatitiwit
-akalakia,kiakalakij,kiakalakijket,kiakalakijtuk,kiakalakijtiwit
akukua,akukuj,akukujket,akukujtuk,akukujtiwit
ajamashewi,ajamashew(ki) / ajamashej(ki),ajamashewket / ajamashejket,ajamashewtuk / ajamashejtuk,ajamashewtiwit / ajamashejtiwit
-ajsikakaki,kiajsikakak / kiajsikakakik,kiajsikakakket / kiajsikakakiket,kiajsikakaktuk,kiajsikakaktiwit
-ajsikamati,kiajsikamatki / kiajsikamatik,kiajsikamatket / kiajsikamatiket,kiajsikamattuk / kiajsikamatituk,kiajsikamattiwit / kiajsikamatitiwit
-ajkultejteki,kiajkultejtek / kiajkultejtekik,kiajkultejtekket / kiajkultejtekiket,kiajkultejtektuk,kiajkultejtektiwit
ajkutzikwini,ajkutzikwinki / ajkutzikwinik,ajkutzikwinket / ajkutzikwiniket,ajkutzikwintuk,ajkutzikwintiwit
-ajwachwia,kiajwachwij,kiajwachwijket,kiajwachwijtuk,kiajwachwijtiwit
-ajwachia,kiajwachij,kiajwachijket,kiajwachijtuk,kiajwachijtiwit
-ajketzaltia,kiajketzaltij,kiajketzaltijket,kiajketzaltijtuk,kiajketzaltijtiwit
-ajtejtilia,kiajtejtilij,kiajtejtilijket,kiajtejtilijtuk,kiajtejtilijtiwit
-awatilana,kiawatilan(ki),kiawatilanket,kiawatilantuk,kiawatilantiwit
-awilpulua,kiawilpuluj,kiawilpulujket,kiawilpulujtuk,kiawilpulujtiwit
-alashua,kialashuj,kialashujket,kialashujtuk,kialashujtiwit
-amachiltia,kiamachiltij,kiamachiltijket,kiamachiltijtuk,kiamachiltijtiwit
amushpuwa,amushpuwki / amushpujki,amushpuwket / amushpujket,amushpuwtuk / amushpujtuk,amushpuwtiwit / amushpujtiwit
apachiwi,apachiwik,apachiwket / apachijket,apachiwtuk / apachijtuk,apachiwtiwit / apachijtiwit
-apachua,kiapachuj,kiapachujket,kiapachujtuk,kiapachujtiwit
apismiki,apismikik,apismikiket,apismiktuk,apismiktiwit
akishtia,akishtij,akishtijket,akishtijtuk,akishtijtiwit
atujtulua,atujtuluj,atujtulujket,atujtulujtuk,atujtulujtiwit
-atuyawia,kiatuyawij,kiatuyawijket,kiatuyawijtuk,kiatuyawijtiwit
-ashkatia,kiashkatij,kiashkatijket,kiashkatijtuk,kiashkatijtiwit
-asulunia,kiasulunij,kiasulunijket,kiasulunijtuk,kiasulunijtiwit
kaktiwetzi,kaktiwetzki / kaktiwetzik,kaktiwetzket / kaktiwetziket,kaktiwetztuk,kaktiwetztiwit
kaktimani,kaktimanki / kaktimanik,kaktimanket / kaktimaniket,kaktimantuk,kaktimantiwit
-kajkalania,kikajkalanij,kikajkalanijket,kikajkalanijtuk,kikajkalanijtiwit
-kawantia,kikawantij,kikawantijket,kikawantijtuk,kikawantijtiwit
-kalakawia,kikalakawij,kikalakawijket,kikalakawijtuk,kikalakawijtiwit
-kalpanua,kikalpanuj,kikalpanujket,kikalpanujtuk,kikalpanujtiwit
-kaltechua,kikaltechuj,kikaltechujket,kikaltechujtuk,kikaltechujtiwit
kamachalua,kamachaluj,kamachalujket,kamachalujtuk,kamachalujtiwit
kamanalua,kamanaluj,kamanalujket,kamanalujtuk,kamanalujtiwit
kamapinawa,kamapinawki / kamapinajki,kamapinawket / kamapinajket,kamapinawtuk / kamapinajtuk,kamapinawtiwit / kamapinajtiwit
-kamapulua,kikamapuluj,kikamapulujket,kikamapulujtuk,kikamapulujtiwit
kaputzewi,kaputzewik,kaputzewket / kaputzejket,kaputzewtuk / kaputzejtuk,kaputzewtiwit / kaputzejtiwit
-kawtewa,kikawtew(ki) / kikawtej(ki),kikawtewket / kikawtejket,kikawtewtuk / kikawtejtuk,kikawtewtiwit / kikawtejtiwit
kashanilia,kashanilij,kashanilijket,kashanilijtuk,kashanilijtiwit
kayajsiwi,kayajsiwik,kayajsiwket / kayajsijket,kayajsiwtuk / kayajsijtuk,kayajsiwtiwit / kayajsijtiwit
-sekutalia,kisekutalij,kisekutalijket,kisekutalijtuk,kisekutalijtiwit
-senitta,kisenittak,kisenittaket,kisenittatuk,kisenittatiwit
sentachiya,sentachishki / sentachiyak / sentachik,sentachishket / sentachiyaket / sentachiket,sentachishtuk / sentachiyatuk / sentachituk,sentachishtiwit / sentachiyatiwit / sentachitiwit
-sentalia,kisentalij,kisentalijket,kisentalijtuk,kisentalijtiwit
-senpawia,kisenpawij,kisenpawijket,kisenpawijtuk,kisenpawijtiwit
-setitilia,kisetitilij,kisetitilijket,kisetitilijtuk,kisetitilijtiwit
seshiwtia,seshiwtij,seshiwtijket,seshiwtijtuk,seshiwtijtiwit
-chantalia,kichantalij,kichantalijket,kichantalijtuk,kichantalijtiwit
-chikawaltia,kichikawaltij,kichikawaltijket,kichikawaltijtuk,kichikawaltijtiwit
-chikawilia,kichikawilij,kichikawilijket,kichikawilijtuk,kichikawilijtiwit
-chichijkulua,kichichijkuluj,kichichijkulujket,kichichijkulujtuk,kichichijkulujtiwit
-chichinua,kichichinuj,kichichinujket,kichichinujtuk,kichichinujtiwit
-chikuilwia,kichikuilwij,kichikuilwijket,kichikuilwijtuk,kichikuilwijtiwit
chikupetuni,chikupetunki / chikupetunik,chikupetunket / chikupetuniket,chikupetuntuk,chikupetuntiwit
chikutamati,chikutamatki / chikutamatik,chikutamatket / chikutamatiket,chikutamattuk / chikutamatituk,chikutamattiwit / chikutamatitiwit
chikuyulyuwa,chikuyulyuwki / chikuyulyujki,chikuyulyuwket / chikuyulyujket,chikuyulyuwtuk / chikuyulyujtuk,chikuyulyuwtiwit / chikuyulyujtiwit
chijchimuluni,chijchimulunki / chijchimulunik,chijchimulunket / chijchimuluniket,chijchimuluntuk,chijchimuluntiwit
-chijkupilia,kichijkupilij,kichijkupilijket,kichijkupilijtuk,kichijkupilijtiwit
chinanteki,chinantekik,chinantekiket,chinantektuk,chinantektiwit
chiyawaltia,chiyawaltij,chiyawaltijket,chiyawaltijtuk,chiyawaltijtiwit
siawmiki,siawmikik,siawmikiket,siawmiktuk,siawmiktiwit
-siawketza,kisiawketzki / kisiawketzak,kisiawketzket / kisiawketzaket,kisiawketztuk / kisiawketzatuk,kisiawketztiwit / kisiawketzatiwit
-siawtasa,kisiawtas(ki) / kisiawtasak,kisiawtasket / kisiawtasaket,kisiawtastuk / kisiawtasatuk,kisiawtastiwit / kisiawtasatiwit
sitalyujtijka,sitalyujtijkak,sitalyujtijkaket,sitalyujtijkatuk,sitalyujtijkatiwit
-kuchijsulua,kikuchijsuluj,kikuchijsulujket,kikuchijsulujtuk,kikuchijsulujtiwit
-kuchitta,kikuchittak,kikuchittaket,kikuchittatuk,kikuchittatiwit
kuchisneki,kuchisnekik,kuchisnekiket,kuchisnektuk,kuchisnektiwit
-kuchtemiki,kikuchtemik / kikuchtemikik,kikuchtemikket / kikuchtemikiket,kikuchtemiktuk,kikuchtemiktiwit
kuchtachiya,kuchtachishki / kuchtachiyak / kuchtachik,kuchtachishket / kuchtachiyaket / kuchtachiket,kuchtachishtuk / kuchtachiyatuk / kuchtachituk,kuchtachishtiwit / kuchtachiyatiwit / kuchtachitiwit
-kukulakia,kikukulakij,kikukulakijket,kikukulakijtuk,kikukulakijtiwit
kukunetia,kukunetij,kukunetijket,kukunetijtuk,kukunetijtiwit
kukututzawi,kukututzaw(ki) / kukututzaj(ki),kukututzawket / kukututzajket,kukututzawtuk / kukututzajtuk,kukututzawtiwit / kukututzajtiwit
kukushkakwi,kukushkakki,kukushkakket,kukushkaktuk,kukushkaktiwit
kukuyunia,kukuyunij,kukuyunijket,kukuyunijtuk,kukuyunijtiwit
-kujkumunia,kikujkumunij,kikujkumunijket,kikujkumunijtuk,kikujkumunijtiwit
-kutunilia,kikutunilij,kikutunilijket,kikutunilijtuk,kikutunilijtiwit
-kututzua,kikututzuj,kikututzujket,kikututzujtuk,kikututzujtiwit
-kwaatekia,kikwaatekij,kikwaatekijket,kikwaatekijtuk,kikwaatekijtiwit
-kwasenmana,kikwasenman(ki),kikwasenmanket,kikwasenmantuk,kikwasenmantiwit
kwasenmani,kwasenmanki / kwasenmanik,kwasenmanket / kwasenmaniket,kwasenmantuk,kwasenmantiwit
kwakwawchuka,kwakwawchukak,kwakwawchukaket,kwakwawchukatuk,kwakwawchukatiwit
kwakwawpiya,kwakwawpishki / kwakwawpiyak / kwakwawpik,kwakwawpishket / kwakwawpiyaket / kwakwawpiket,kwakwawpishtuk / kwakwawpiyatuk / kwakwawpituk,kwakwawpishtiwit / kwakwawpiyatiwit / kwakwawpitiwit
kwaistaya,kwaistaski / kwaistayak / kwaistak,kwaistasket / kwaistayaket / kwaistaket,kwaistastuk / kwaistayatuk / kwaistatuk,kwaistastiwit / kwaistayatiwit / kwaistatiwit
-kwalantia,kikwalantij,kikwalantijket,kikwalantijtuk,kikwalantijtiwit
-kwapetzua,kikwapetzuj,kikwapetzujket,kikwapetzujtuk,kikwapetzujtiwit
-kwatutunia,kikwatutunij,kikwatutunijket,kikwatutunijtuk,kikwatutunijtiwit
-kwatzetzelua,kikwatzetzeluj,kikwatzetzelujket,kikwatzetzelujtuk,kikwatzetzelujtiwit
-kwatzunawia,kikwatzunawij,kikwatzunawijket,kikwatzunawijtuk,kikwatzunawijtiwit
-kwawwiteki,kikwawwitek / kikwawwitekik,kikwawwitekket / kikwawwitekiket,kikwawwitektuk,kikwawwitektiwit
-kwawnelua,kikwawneluj,kikwawnelujket,kikwawnelujtuk,kikwawnelujtiwit
kwawpitzawi,kwawpitzawik,kwawpitzawket / kwawpitzajket,kwawpitzawtuk / kwawpitzajtuk,kwawpitzawtiwit / kwawpitzajtiwit
kwawteteki,kwawtetekik,kwawtetekiket,kwawtetektuk,kwawtetektiwit
kwawtapana,kwawtapanki / kwawtapanak,kwawtapanket / kwawtapanaket,kwawtapantuk,kwawtapantiwit
-kwawtukia,kikwawtukij,kikwawtukijket,kikwawtukijtuk,kikwawtukijtiwit
kwawtzayana,kwawtzayanki / kwawtzayanak,kwawtzayanket / kwawtzayanaket,kwawtzayantuk,kwawtzayantiwit
kwawshashaka,kwawshashakak,kwawshashakaket,kwawshashakatuk,kwawshashakatiwit
-kwashamania,kikwashamanij,kikwashamanijket,kikwashamanijtuk,kikwashamanijtiwit
-kwashashamatza,kikwashashamatzki / kikwashashamatzak,kikwashashamatzket / kikwashashamatzaket,kikwashashamatztuk / kikwashashamatzatuk,kikwashashamatztiwit / kikwashashamatzatiwit
-kwashepujwia,kikwashepujwij,kikwashepujwijket,kikwashepujwijtuk,kikwashepujwijtiwit
kwelpachiwi,kwelpachiwik,kwelpachiwket / kwelpachijket,kwelpachiwtuk / kwelpachijtuk,kwelpachiwtiwit / kwelpachijtiwit
kwelpachilwia,kwelpachilwij,kwelpachilwijket,kwelpachilwijtuk,kwelpachilwijtiwit
-kwelpachua,kikwelpachuj,kikwelpachujket,kikwelpachujtuk,kikwelpachujtiwit
-kwentalia,kikwentalij,kikwentalijket,kikwentalijtuk,kikwentalijtiwit
kwepunaltia,kwepunaltij,kwepunaltijket,kwepunaltijtuk,kwepunaltijtiwit
-kwetashwia,kikwetashwij,kikwetashwijket,kikwetashwijtuk,kikwetashwijtiwit
kwetashiwi,kwetashiwik,kwetashiwket / kwetashijket,kwetashiwtuk / kwetashijtuk,kwetashiwtiwit / kwetashijtiwit
-kwetashua,kikwetashuj,kikwetashujket,kikwetashujtuk,kikwetashujtiwit
-kwiltunua,kikwiltunuj,kikwiltunujket,kikwiltunujtuk,kikwiltunujtiwit
kwitachapani,kwitachapanki / kwitachapanik,kwitachapanket / kwitachapaniket,kwitachapantuk,kwitachapantiwit
-kwitawiltia,kikwitawiltij,kikwitawiltijket,kikwitawiltijtuk,kikwitawiltijtiwit
kwitashiwi,kwitashiwik,kwitashiwket / kwitashijket,kwitashiwtuk / kwitashijtuk,kwitashiwtiwit / kwitashijtiwit
-ejekamuta,kiejekamutki / kiejekamutak,kiejekamutket / kiejekamutaket,kiejekamuttuk / kiejekamutatuk,kiejekamuttiwit / kiejekamutatiwit
-ewitiketza,kiewitiketzki / kiewitiketzak,kiewitiketzket / kiewitiketzaket,kiewitiketztuk / kiewitiketzatuk,kiewitiketztiwit / kiewitiketzatiwit
elwewetzka,elwewetzkak,elwewetzkaket,elwewetzkatuk,elwewetzkatiwit
elmimikini,elmimikinki / elmimikinik,elmimikinket / elmimikiniket,elmimikintuk,elmimikintiwit
emulunia,emulunij,emulunijket,emulunijtuk,emulunijtiwit
ekwshua,ekwshuj,ekwshujket,ekwshujtuk,ekwshujtiwit
ewtewa,ewtewki / ewtejki,ewtewket / ewtejket,ewtewtuk / ewtejtuk,ewtewtiwit / ewtejtiwit
-wajwanua,kiwajwanuj,kiwajwanujket,kiwajwanujtuk,kiwajwanujtiwit
-walakilia,kiwalakilij,kiwalakilijket,kiwalakilijtuk,kiwalakilijtiwit
-wejkaitta,kiwejkaittak,kiwejkaittaket,kiwejkaittatuk,kiwejkaittatiwit
-wejkapawia,kiwejkapawij,kiwejkapawijket,kiwejkapawijtuk,kiwejkapawijtiwit
-wewejtilia,kiwewejtilij,kiwewejtilijket,kiwewejtilijtuk,kiwewejtilijtiwit
-wejshulukwepa,kiwejshulukwep(ki) / kiwejshulukwepak,kiwejshulukwepket / kiwejshulukwepaket,kiwejshulukweptuk / kiwejshulukwepatuk,kiwejshulukweptiwit / kiwejshulukwepatiwit
wentalia,wentalij,wentalijket,wentalijtuk,wentalijtiwit
-wetzkilia,kiwetzkilij,kiwetzkilijket,kiwetzkilijtuk,kiwetzkilijtiwit
-wetzkiltia,kiwetzkiltij,kiwetzkiltijket,kiwetzkiltijtuk,kiwetzkiltijtiwit
-wetzkitia,kiwetzkitij,kiwetzkitijket,kiwetzkitijtuk,kiwetzkitijtiwit
-wikshitia,kiwikshitij,kiwikshitijket,kiwikshitijtuk,kiwikshitijtiwit
-wijwikaltia,kiwijwikaltij,kiwijwikaltijket,kiwijwikaltijtuk,kiwijwikaltijtiwit
-wiwitilia,kiwiwitilij,kiwiwitilijket,kiwiwitilijtuk,kiwiwitilijtiwit
wiwishalwia,wiwishalwij,wiwishalwijket,wiwishalwijtuk,wiwishalwijtiwit
-wiwishua,kiwiwishuj,kiwiwishujket,kiwiwishujtuk,kiwiwishujtiwit
-wiwiyunia,kiwiwiyunij,kiwiwiyunijket,kiwiwiyunijtuk,kiwiwiyunijtiwit
-wilanilia,kiwilanilij,kiwilanilijket,kiwilanilijtuk,kiwilanilijtiwit
witekuni,witekunki / witekunik,witekunket / witekuniket,witekuntuk,witekuntiwit
ijkwishua,ijkwishuj,ijkwishujket,ijkwishujtuk,ijkwishujtiwit
ijichteki,ijichtekik,ijichtekiket,ijichtektuk,ijichtektiwit
-ijikultia,kijikultij,kijikultijket,kijikultijtuk,kijikultijtiwit
-ijiyuwia,kijiyuwij,kijiyuwijket,kijiyuwijtuk,kijiyuwijtiwit
ijiyumiki,ijiyumikik,ijiyumikiket,ijiyumiktuk,ijiyumiktiwit
ijiyukisa,ijiyukiski / ijiyukisak,ijiyukisket / ijiyukisaket,ijiyukistuk,ijiyukistiwit
-ijiyutema,kijiyuten(ki) / kijiyutemak,kijiyutenket / kijiyutemaket,kijiyutentuk / kijiyutematuk,kijiyutentiwit / kijiyutematiwit
-ijiyutia,kijiyutij,kijiyutijket,kijiyutijtuk,kijiyutijtiwit
-ijiyutzakwa,kijiyutzak,kijiyutzakket,kijiyutzaktuk,kijiyutzaktiwit
ijteshawaka,ijteshawakak,ijteshawakaket,ijteshawakatuk,ijteshawakatiwit
ijtesunewi,ijtesunewik,ijtesunewket / ijtesunejket,ijtesunewtuk / ijtesunejtuk,ijtesunewtiwit / ijtesunejtiwit
-ijtanilia,kijtanilij,kijtanilijket,kijtanilijtuk,kijtanilijtiwit
-ijtutilia,kijtutilij,kijtutilijket,kijtutilijtuk,kijtutilijtiwit
-iwintia,kiwintij,kiwintijket,kiwintijtuk,kiwintijtiwit
-ijyewilia,kijyewilij,kijyewilijket,kijyewilijtuk,kijyewilijtiwit
-iluchtia,kiluchtij,kiluchtijket,kiluchtijtuk,kiluchtijtiwit
ilpijtiwi,ilpijtiwik,ilpijtiwket / ilpijtijket,ilpijtiwtuk / ilpijtijtuk,ilpijtiwtiwit / ilpijtijtiwit
inmanti,inmantik,inmantiket,inmantituk,inmantitiwit
-inayilia,kinayilij,kinayilijket,kinayilijtuk,kinayilijtiwit
-ipantia,kipantij,kipantijket,kipantijtuk,kipantijtiwit
ikwshua,ikwshuj,ikwshujket,ikwshujtuk,ikwshujtiwit
-ishawia,kishawij,kishawijket,kishawijtuk,kishawijtiwit
-ishkawia,kishkawij,kishkawijket,kishkawijtuk,kishkawijtiwit
-ishchikawa,kishchikaw(ki) / kishchikaj(ki),kishchikawket / kishchikajket,kishchikawtuk / kishchikajtuk,kishchikawtiwit / kishchikajtiwit
ishkukuchi,ishkukuchki / ishkukuchik,ishkukuchket / ishkukuchiket,ishkukuchtuk,ishkukuchtiwit
ishkukuya,ishkukushki / ishkukuyak / ishkukuk,ishkukushket / ishkukuyaket / ishkukuket,ishkukushtuk / ishkukuyatuk / ishkukutuk,ishkukushtiwit / ishkukuyatiwit / ishkukutiwit
ishkumaka,ishkumakak,ishkumakaket,ishkumakatuk,ishkumakatiwit
-ishkwawia,kishkwawij,kishkwawijket,kishkwawijtuk,kishkwawijtiwit
-ishkwitia,kishkwitij,kishkwitijket,kishkwitijtuk,kishkwitijtiwit
-ishewia,kishewij,kishewijket,kishewijtuk,kishewijtiwit
ishwetzka,ishwetzkak,ishwetzkaket,ishwetzkatuk,ishwetzkatiwit
ishwiksi,ishwiksik,ishwiksiket,ishwiksituk,ishwiksitiwit
ishwiksi,ishwiksik,ishwiksiket,ishwiksituk,ishwiksitiwit
-ishwiwika,kishwiwikak,kishwiwikaket,kishwiwikatuk,kishwiwikatiwit
-ishwiltia,kishwiltij,kishwiltijket,kishwiltijtuk,kishwiltijtiwit
-ishmelawa,kishmelaw(ki) / kishmelaj(ki),kishmelawket / kishmelajket,kishmelawtuk / kishmelajtuk,kishmelawtiwit / kishmelajtiwit
ishmijmiki,ishmijmikik,ishmijmikiket,ishmijmiktuk,ishmijmiktiwit
-ishnamiki,kishnamik / kishnamikik,kishnamikket / kishnamikiket,kishnamiktuk,kishnamiktiwit
-ishutia,kishutij,kishutijket,kishutijtuk,kishutijtiwit
-ishpatawa,kishpataw(ki) / kishpataj(ki),kishpatawket / kishpatajket,kishpatawtuk / kishpatajtuk,kishpatawtiwit / kishpatajtiwit
-ishpejpena,kishpejpen(ki),kishpejpenket,kishpejpentuk,kishpejpentiwit
ishpetani,ishpetanki / ishpetanik,ishpetanket / ishpetaniket,ishpetantuk,ishpetantiwit
ishpuliwi,ishpuliwik,ishpuliwket / ishpulijket,ishpuliwtuk / ishpulijtuk,ishpuliwtiwit / ishpulijtiwit
-ishpulua,kishpuluj,kishpulujket,kishpulujtuk,kishpulujtiwit
ishpuyawi,ishpuyawik,ishpuyawket / ishpuyajket,ishpuyawtuk / ishpuyajtuk,ishpuyawtiwit / ishpuyajtiwit
ishkijkisa,ishkijkiski,ishkijkisket,ishkijkistuk,ishkijkistiwit
ishtalewi,ishtalewik,ishtalewket / ishtalejket,ishtalewtuk / ishtalejtuk,ishtalewtiwit / ishtalejtiwit
-ishtilia,kishtilij,kishtilijket,kishtilijtuk,kishtilijtiwit
-ishtalia,kishtalij,kishtalijket,kishtalijtuk,kishtalijtiwit
ishtamati,ishtamatki / ishtamatik,ishtamatket / ishtamatiket,ishtamattuk / ishtamatituk,ishtamattiwit / ishtamatitiwit
ishtumawa,ishtumawki / ishtumajki,ishtumawket / ishtumajket,ishtumawtuk / ishtumajtuk,ishtumawtiwit / ishtumajtiwit
ishtunewi,ishtunewik,ishtunewket / ishtunejket,ishtunewtuk / ishtunejtuk,ishtunewtiwit / ishtunejtiwit
ishshawaka,ishshawakak,ishshawakaket,ishshawakatuk,ishshawakatiwit
-ishshutia,kishshutij,kishshutijket,kishshutijtuk,kishshutijtiwit
-ishsalua,kishsaluj,kishsalujket,kishsalujtuk,kishsalujtiwit
-iskalia,kiskalij,kiskalijket,kiskalijtuk,kiskalijtiwit
istakwakwa,istakwakwak,istakwakwaket,istakwakwatuk,istakwakwatiwit
