verb,3s preterit,3pl preterit,3s perfect,3pl perfect
-aj/chiwa,kiajchiw(ki) / kiajchij(ki),kiajchiwket / kiajchijket,kiajchiwtuk / kiajchijtuk,kiajchiwtiwit / kiajchijtiwit
-ajkukwi,kiajkuk,kiajkukket,kiajkuktuk,kiajkuktiwit
ajweli,ajwelik,ajweliket,ajwelituk,ajwelitiwit
aj-ketza,ajketzki,ajketzket,ajketztuk,ajketztiwit
awiya,awishki / awiyak / awik,awishket / awiyaket / awiket,awishtuk / awiyatuk / awituk,awishtiwit / awiyatiwit / awitiwit
-alawa,kialaw(ki) / kialaj(ki),kialawket / kialajket,kialawtuk / kialajtuk,kialawtiwit / kialajtiwit
-altia,kialtij,kialtijket,kialtijtuk,kialtijtiwit
a/miki,amikik,amikiket,amiktuk,amiktiwit
a/panu,apanuk,apanuket,apanutuk,apanutiwit
-a/pitza,kiapitzki,kiapitzket,kiapitztuk,kiapitztiwit
atiya,atishki / atiyak / atik,atishket / atiyaket / atiket,atishtuk / atiyatuk / atituk,atishtiwit / atiyatiwit / atitiwit
a/ta-kwi,atakwij,atakwijket,atakwijtuk,atakwijtiwit
a/t-i,atik,atiket,atituk,atitiwit
-a/shisha,kiashishki / kiashishak,kiashishket / kiashishaket,kiashishtuk / kiashishatuk,kiashishtiwit / kiashishatiwit
a/yuwa,ayuwak,ayuwaket,ayuwatuk,ayuwatiwit
kakalkwi,kakalkwik,kakalkwiket,kakalkwituk,kakalkwitiwit
kakti,kaktik,kaktiket,kaktituk,kaktitiwit
-kajkawa,kikajkaw(ki) / kikajkaj(ki),kikajkawket / kikajkajket,kikajkawtuk / kikajkajtuk,kikajkawtiwit / kikajkajtiwit
-kajkatza,kikajkatzki,kikajkatzket,kikajkatztuk,kikajkatztiwit
kawani,kawanki / kawanik,kawanket / kawaniket,kawantuk,kawantiwit
kalani,kalanki / kalanik,kalanket / kalaniket,kalantuk,kalantiwit
kal/aki,kalakik,kalakiket,kalaktuk,kalaktiwit
kal-chiwa,kalchiw(ki) / kalchij(ki),kalchiwket / kalchijket,kalchiwtuk / kalchijtuk,kalchiwtiwit / kalchijtiwit
-kal/pata,kikalpatki / kikalpatak,kikalpatket / kikalpataket,kikalpattuk / kikalpatatuk,kikalpattiwit / kikalpatatiwit
-kaltia,kikaltij,kikaltijket,kikaltijtuk,kikaltijtiwit
-kama/kwi,kikamakwij,kikamakwijket,kikamakwijtuk,kikamakwijtiwit
kamawa,kamawki / kamajki / kamawak,kamawket / kamajket / kamawaket,kamawtuk / kamajtuk / kamawatuk,kamawtiwit / kamajtiwit / kamawatiwit
-kanawa,kikanaw(ki) / kikanaj(ki),kikanawket / kikanajket,kikanawtuk / kikanajtuk,kikanawtiwit / kikanajtiwit
kanawi,kanawik,kanawket / kanajket,kanawtuk / kanajtuk,kanawtiwit / kanajtiwit
kapani,kapanki / kapanik,kapanket / kapaniket,kapantuk,kapantiwit
-katzana,kikatzan,kikatzanket,kikatzantuk,kikatzantiwit
kashani,kashanki / kashanik,kashanket / kashaniket,kashantuk,kashantiwit
-kayawa,kikayaw(ki) / kikayaj(ki),kikayawket / kikayajket,kikayawtuk / kikayajtuk,kikayawtiwit / kikayajtiwit
sesekwi,sesekwik,sesekwiket,sesekwituk,sesekwitiwit
seseya,seseski / seseyak / sesek,sesesket / seseyaket / seseket,sesestuk / seseyatuk / sesetuk,sesestiwit / seseyatiwit / sesetiwit
se/wetzi,sewetzki / sewetzik,sewetzket / sewetziket,sewetztuk,sewetztiwit
-sewia,kisewij,kisewijket,kisewijtuk,kisewijtiwit
-selia,kiselij,kiselijket,kiselijtuk,kiselijtiwit
seliya,seliyak / selik,seliyaket / seliket,seliyatuk / selituk,seliyatiwit / selitiwit
sen/ya,yajki,yajket,yajtuk,yajtiwit
sepuwa,sepuwki / sepujki / sepuwak,sepuwket / sepujket / sepuwaket,sepuwtuk / sepujtuk / sepuwatuk,sepuwtiwit / sepujtiwit / sepuwatiwit
chakwani,chakwanki / chakwanik,chakwanket / chakwaniket,chakwantuk,chakwantiwit
chawa/ti,chawatik,chawatiket,chawatituk,chawatitiwit
chalani,chalanki / chalanik,chalanket / chalaniket,chalantuk,chalantiwit
-chalia,kichalij,kichalijket,kichalijtuk,kichalijtiwit
-chamawa,kichamaw(ki) / kichamaj(ki),kichamawket / kichamajket,kichamawtuk / kichamajtuk,kichamawtiwit / kichamajtiwit
chan/ti,chantik,chantiket,chantituk,chantitiwit
chapani,chapanki / chapanik,chapanket / chapaniket,chapantuk,chapantiwit
-chayawa,kichayaw(ki) / kichayaj(ki),kichayawket / kichayajket,kichayawtuk / kichayajtuk,kichayawtiwit / kichayajtiwit
chayawi,chayawik,chayawket / chayajket,chayawtuk / chayajtuk,chayawtiwit / chayajtiwit
chikawi,chikawik,chikawket / chikajket,chikawtuk / chikajtuk,chikawtiwit / chikajtiwit
-chichina,kichichin(ki),kichichinket,kichichintuk,kichichintiwit
chichiya,chichishki / chichiyak / chichik,chichishket / chichiyaket / chichiket,chichishtuk / chichiyatuk / chichituk,chichishtiwit / chichiyatiwit / chichitiwit
-chijchiwa,kichijchiw(ki) / kichijchij(ki),kichijchiwket / kichijchijket,kichijchiwtuk / kichijchijtuk,kichijchiwtiwit / kichijchijtiwit
-chil/wia,kichilwij,kichilwijket,kichilwijtuk,kichilwijtiwit
chilia,chilij,chilijket,chilijtuk,chilijtiwit
chipawi,chipawik,chipawket / chipajket,chipawtuk / chipajtuk,chipawtiwit / chipajtiwit
chipini,chipinki / chipinik,chipinket / chipiniket,chipintuk,chipintiwit
chituni,chitunki / chitunik,chitunket / chituniket,chituntuk,chituntiwit
chuchuka,chuchukak,chuchukaket,chuchukatuk,chuchukatiwit
-chulwia,kichulwij,kichulwijket,kichulwijtuk,kichulwijtiwit
chul/ua,chuluj,chulujket,chulujtuk,chulujtiwit
chupuni,chupunki / chupunik,chupunket / chupuniket,chupuntuk,chupuntiwit
sital/ti,sitaltik,sitaltiket,sitaltituk,sitaltitiwit
-siyawa,kisiyaw(ki) / kisiyaj(ki),kisiyawket / kisiyajket,kisiyawtuk / kisiyajtuk,kisiyawtiwit / kisiyajtiwit
siyawi,siyawik,siyawket / siyajket,siyawtuk / siyajtuk,siyawtiwit / siyajtiwit
kukuya,kukushki / kukuyak / kukuk,kukushket / kukuyaket / kukuket,kukushtuk / kukuyatuk / kukutuk,kukushtiwit / kukuyatiwit / kukutiwit
-kuwia,kikuwij,kikuwijket,kikuwijtuk,kikuwijtiwit
-kulwia,kikulwij,kikulwijket,kikulwijtuk,kikulwijtiwit
kuliwi,kuliwik,kuliwket / kulijket,kuliwtuk / kulijtuk,kuliwtiwit / kulijtiwit
-kulua,kikuluj,kikulujket,kikulujtuk,kikulujtiwit
-kultia,kikultij,kikultijket,kikultijtuk,kikultijtiwit
kumuni,kumunki / kumunik,kumunket / kumuniket,kumuntuk,kumuntiwit
-kupina,kikupin,kikupinket,kikupintuk,kikupintiwit
kupini,kupinki / kupinik,kupinket / kupiniket,kupintuk,kupintiwit
-kutuna,kikutun,kikutunket,kikutuntuk,kikutuntiwit
kutuni,kutunki / kutunik,kutunket / kutuniket,kutuntuk,kutuntiwit
kushuni,kushunki / kushunik,kushunket / kushuniket,kushuntuk,kushuntiwit
-kuyawa,kikuyaw(ki) / kikuyaj(ki),kikuyawket / kikuyajket,kikuyawtuk / kikuyajtuk,kikuyawtiwit / kikuyajtiwit
kuyuni,kuyunki / kuyunik,kuyunket / kuyuniket,kuyuntuk,kuyuntiwit
-kwajkwakwa,kikwajkwak,kikwajkwakket,kikwajkwaktuk,kikwajkwaktiwit
